epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,931.65,1.11569,0.55155,0.87332,0.92158,0.80922,0.88712,0.58833,0.9842,0.51348,0.83355,0.0011882,0.0011882,0.0011882
43,966.646,1.13436,0.55611,0.87597,0.91833,0.80627,0.8749,0.57619,1.02206,0.50952,0.84282,0.0011684,0.0011684,0.0011684
44,994.349,1.13208,0.55992,0.8785,0.93128,0.81555,0.88563,0.57326,1.01572,0.50407,0.84152,0.0011486,0.0011486,0.0011486
45,1029.05,1.11571,0.54296,0.87508,0.92531,0.82074,0.88668,0.58355,0.99772,0.49926,0.8346,0.0011288,0.0011288,0.0011288
46,1063.96,1.10324,0.54712,0.87247,0.9354,0.81581,0.88635,0.58081,0.99824,0.50337,0.83067,0.001109,0.001109,0.001109
47,1098.85,1.11612,0.54371,0.87458,0.94489,0.82074,0.89014,0.59054,0.97164,0.49872,0.83195,0.0010892,0.0010892,0.0010892
48,1133.58,1.11,0.54615,0.87329,0.9172,0.8169,0.87486,0.58108,0.99426,0.50912,0.83396,0.0010694,0.0010694,0.0010694
49,1167.17,1.10372,0.54064,0.87031,0.90593,0.82615,0.88153,0.58881,0.98994,0.48964,0.83468,0.0010496,0.0010496,0.0010496
50,1198.3,1.10017,0.53657,0.86993,0.93972,0.79836,0.88129,0.58887,0.97947,0.48512,0.83396,0.0010298,0.0010298,0.0010298
51,1233.08,1.10761,0.53591,0.86713,0.94866,0.80434,0.8866,0.58271,0.98449,0.481,0.83173,0.00101,0.00101,0.00101
52,1268.25,1.09295,0.53277,0.86719,0.92338,0.83739,0.89035,0.58704,0.99004,0.4938,0.82784,0.0009902,0.0009902,0.0009902
53,1303.8,1.08662,0.53307,0.86942,0.93331,0.82714,0.88415,0.57877,0.99285,0.49814,0.83576,0.0009704,0.0009704,0.0009704
54,1338.88,1.09154,0.52742,0.86461,0.91013,0.83099,0.88161,0.59255,0.98011,0.48581,0.83251,0.0009506,0.0009506,0.0009506
55,1372.23,1.08346,0.5294,0.86827,0.91953,0.83611,0.88712,0.59343,0.97872,0.48874,0.83606,0.0009308,0.0009308,0.0009308
56,1407.44,1.08147,0.52558,0.86679,0.92266,0.82714,0.88984,0.57944,1.01858,0.49494,0.84441,0.000911,0.000911,0.000911
57,1442.06,1.07535,0.52493,0.86674,0.93586,0.8233,0.88857,0.59396,0.98223,0.47967,0.83481,0.0008912,0.0008912,0.0008912
58,1477.18,1.10611,0.52983,0.86542,0.94402,0.83099,0.88713,0.59113,0.97627,0.50181,0.83144,0.0008714,0.0008714,0.0008714
59,1511.81,1.07539,0.51943,0.86069,0.94834,0.82274,0.8923,0.59673,0.96972,0.47301,0.83012,0.0008516,0.0008516,0.0008516
60,1546.2,1.07208,0.51603,0.8623,0.94146,0.82364,0.8912,0.59779,0.95919,0.48865,0.8253,0.0008318,0.0008318,0.0008318
